Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
208748_page_27.txt,0.6006,36,171,41,358,0.0000
208748_page_28.txt,0.2044,180,968,177,1179,0.0000
208748_page_29.txt,0.2283,147,809,144,990,0.0060
208748_page_3.txt,0.4874,79,404,74,716,0.0000
208748_page_30.txt,0.3380,166,903,177,1343,0.0000
208748_page_31.txt,0.2704,135,737,129,832,0.0000
208748_page_32.txt,0.0424,232,1269,206,1250,0.0000
208748_page_33.txt,0.2390,81,418,68,456,0.0000
208748_page_34.txt,0.4739,344,1438,345,2357,0.0140
208748_page_35.txt,0.6801,249,837,225,1663,0.0153
208748_page_36.txt,0.5014,309,1185,244,1795,0.0100
208748_page_37.txt,0.5114,100,394,85,612,0.0000
208748_page_38.txt,0.6455,463,1484,397,2891,0.0140
208748_page_39.txt,0.6132,229,980,263,2006,0.0093
208748_page_4.txt,0.3060,286,1386,289,1954,0.0040
208748_page_40.txt,0.1591,210,1097,212,1270,0.0015
208748_page_41.txt,0.2764,145,726,143,937,0.0030
208748_page_42.txt,0.1881,165,926,163,1111,0.0000
208748_page_43.txt,0.2293,148,782,144,977,0.0000
208748_page_44.txt,0.3063,298,1350,248,1655,0.0000
208748_page_45.txt,0.2906,65,338,61,437,0.0000
208748_page_46.txt,0.4704,212,1014,206,1805,0.0169
208748_page_47.txt,0.1496,255,1311,246,1410,0.0145
208748_page_48.txt,0.2624,142,704,138,846,0.0000
208748_page_49.txt,0.1503,216,1086,207,1224,0.0000
208748_page_5.txt,0.4027,103,447,98,673,0.0000
208748_page_50.txt,0.1469,178,852,164,926,0.0026
208748_page_51.txt,0.2515,191,1031,191,1340,0.0000
208748_page_52.txt,0.1932,134,665,133,761,0.0159
208748_page_53.txt,0.1381,208,1088,200,1224,0.0000
208748_page_54.txt,0.3301,128,651,128,918,0.0141
208748_page_55.txt,0.1933,171,864,169,1050,0.0000
208748_page_56.txt,0.4033,99,454,102,719,0.0000
208748_page_57.txt,0.6261,149,628,170,1035,0.0156
208748_page_58.txt,0.1337,201,1014,202,1144,0.0000
208748_page_59.txt,0.3115,170,818,153,1021,0.0000
208748_page_6.txt,0.2254,349,1715,337,2076,0.0152
208748_page_60.txt,0.2031,332,1600,321,1915,0.0071
208748_page_61.txt,0.2341,333,1669,337,2093,0.0000
208748_page_62.txt,0.1521,215,1134,217,1315,0.0000
208748_page_63.txt,0.3277,131,672,129,952,0.0018
208748_page_64.txt,0.1969,176,861,179,1031,0.0000
208748_page_65.txt,0.4642,112,476,111,823,0.0000
208748_page_66.txt,0.3602,40,163,31,186,0.0000
208748_page_67.txt,0.6959,243,775,213,1289,0.0000
208748_page_68.txt,0.7777,139,438,173,1138,0.0000
208748_page_69.txt,0.6909,119,446,117,1058,0.0000
208748_page_7.txt,0.1483,288,1523,289,1733,0.0114
208748_page_70.txt,0.7399,281,926,262,1876,0.0145
208748_page_71.txt,0.7606,76,245,70,543,0.0000
208748_page_72.txt,0.0401,232,1223,218,1221,0.0140
208748_page_73.txt,0.3139,141,641,131,790,0.0000
208748_page_74.txt,0.2108,284,1467,281,1765,0.0144
208748_page_75.txt,0.2353,77,366,82,425,0.0000
208748_page_76.txt,0.2459,161,844,162,1098,0.0071
208748_page_77.txt,0.2141,220,1080,214,1294,0.0080
208748_page_78.txt,0.1237,206,1079,203,1213,0.0145
208748_page_79.txt,0.2862,248,1148,237,1443,0.0070
208748_page_8.txt,0.1506,319,1616,304,1826,0.0179
208748_page_80.txt,0.0526,156,883,158,912,0.0075
208748_page_81.txt,0.2528,187,963,176,1088,0.0000
208748_page_82.txt,0.2242,281,1541,276,1927,0.0060
208748_page_83.txt,0.5654,60,267,60,566,0.0000
208748_page_84.txt,0.5920,303,1087,299,1892,0.0152
208748_page_85.txt,0.5807,161,601,172,1097,0.0000
208748_page_86.txt,0.6138,146,552,142,1059,0.0000
208748_page_87.txt,0.6299,294,1110,316,2386,0.0005
208748_page_88.txt,0.2947,333,1544,301,1931,0.0000
208748_page_89.txt,0.2361,395,1840,369,2143,0.0168
208748_page_9.txt,0.2213,275,1415,267,1758,0.0112
208748_page_90.txt,0.1926,366,1819,359,2129,0.0173
208748_page_91.txt,0.4931,217,1057,218,1890,0.0156
208748_page_92.txt,0.2958,402,1743,327,2096,0.0169
208748_page_93.txt,0.2518,371,1841,345,2196,0.0156
208748_page_94.txt,0.2514,346,1782,323,2164,0.0263
208748_page_95.txt,0.2425,410,1947,375,2260,0.0160
208748_page_96.txt,0.2690,104,564,100,710,0.0000
208787_page_1.txt,0.6809,390,1936,365,1962,0.0062
208787_page_2.txt,0.3887,255,1304,325,1837,0.0000
208787_page_3.txt,0.4100,62,308,89,478,0.0000
208787_page_4.txt,0.8637,72,178,153,763,0.0000
208850_page_1.txt,0.5000,77,276,48,272,0.0000
208850_page_10.txt,0.1639,376,1854,324,1891,0.0149
208850_page_11.txt,0.3203,394,1632,286,1689,0.0140
208850_page_12.txt,0.2013,377,1829,293,1808,0.0156
208850_page_13.txt,0.2830,172,684,118,682,0.0156
208850_page_2.txt,0.0652,352,1841,352,1887,0.0140
208850_page_3.txt,0.0906,371,1978,348,1932,0.0136
208850_page_4.txt,0.2803,198,1156,177,1409,0.0063
208850_page_5.txt,0.1017,397,1980,353,1986,0.0234
208850_page_6.txt,0.0947,392,2120,381,2175,0.0148
208850_page_7.txt,0.1397,435,2193,374,2233,0.0158
208850_page_8.txt,0.2267,546,2580,420,2514,0.0222
208850_page_9.txt,0.1341,363,1895,329,1954,0.0188
208862_page_1.txt,0.1310,276,1399,277,1504,0.0145
208862_page_10.txt,0.4460,463,1865,411,2363,0.0130
208862_page_11.txt,0.4044,446,1929,398,2354,0.0163
208862_page_12.txt,0.2126,389,2011,376,2248,0.0170
208862_page_13.txt,0.2833,65,319,66,360,0.0000
208862_page_14.txt,0.2975,44,178,48,242,0.0000
208862_page_15.txt,0.1604,361,1811,356,1995,0.0160
208862_page_16.txt,0.1450,394,2048,391,2234,0.0166
208862_page_17.txt,0.3830,28,141,31,188,0.0000
208862_page_18.txt,0.5640,36,123,51,250,0.0000
208862_page_19.txt,0.3807,570,2167,373,2062,0.0175
208862_page_2.txt,0.0557,541,3143,548,3230,0.0453
208862_page_20.txt,0.3300,590,2457,419,2312,0.0353
208862_page_21.txt,1.8726,158,361,33,157,0.0000
208862_page_22.txt,0.4385,331,1402,298,1822,0.0140
208862_page_23.txt,0.6020,30,98,46,201,0.0000
208862_page_24.txt,0.5423,57,263,69,378,0.0000
208862_page_25.txt,0.2064,349,1586,258,1492,0.0168
208862_page_26.txt,0.1028,471,2483,417,2460,0.0266
